id;_estacaoId;_nome;_ordem;_linhaId;_linha;_tipoId;_tipo;baldeacao;pos_x;pos_y
101;8;Tucuruvi;1;1;1-Azul;1;Metrô;;520;663
102;9;Parada Inglesa;1;1;1-Azul;1;Metrô;;520;645
103;10;Jardim São Paulo-Ayrton Senna;1;1;1-Azul;1;Metrô;;520;627
104;11;Santana;1;1;1-Azul;1;Metrô;;520;612
105;12;Carandiru;1;1;1-Azul;1;Metrô;;520;595
106;13;Portuguesa-Tietê;1;1;1-Azul;1;Metrô;;520;580
107;14;Armênia;1;1;1-Azul;1;Metrô;;520;566
108;15;Tiradentes;1;1;1-Azul;1;Metrô;;520;546
109;171;Luz;1;1;1-Azul;1;Metrô;401 718 1101;520;490
110;17;São Bento;1;1;1-Azul;1;Metrô;;520;450
111;186;Sé;1;1;1-Azul;1;Metrô;306;520;418
112;19;Japão-Liberdade;1;1;1-Azul;1;Metrô;;520;381
113;20;São Joaquim;1;1;1-Azul;1;Metrô;;520;345
114;21;Vergueiro;1;1;1-Azul;1;Metrô;;520;305
115;174;Paraíso;1;1;1-Azul;1;Metrô;207;520;272
116;152;Ana Rosa;1;1;1-Azul;1;Metrô;208;520;247
117;24;Vila Mariana;1;1;1-Azul;1;Metrô;;520;221
118;25;Santa Cruz;1;1;1-Azul;1;Metrô;516;520;197
119;26;Praça da Árvore;1;1;1-Azul;1;Metrô;;520;184
120;27;Saúde;1;1;1-Azul;1;Metrô;;520;165
121;28;São Judas;1;1;1-Azul;1;Metrô;;520;150
122;29;Conceição;1;1;1-Azul;1;Metrô;;520;133
123;30;Jabaquara;1;1;1-Azul;1;Metrô;;520;108
201;188;Vila Madalena;2;2;2-Verde;1;Metrô;;356;422
202;52;S. N. Sra. De Fátima-Sumaré;2;2;2-Verde;1;Metrô;;372;405
203;51;Clínicas;2;2;2-Verde;1;Metrô;;389;388
204;50;Consolação;2;2;2-Verde;1;Metrô;404;418;364
205;49;Trianon-Masp;2;2;2-Verde;1;Metrô;;455;322
206;48;Brigadeiro;2;2;2-Verde;1;Metrô;;482;297
207;175;Paraíso;2;2;2-Verde;1;Metrô;115;508;270
208;153;Ana Rosa;2;2;2-Verde;1;Metrô;116;508;247
